country,week,cases,log_cum_cases,first_diff_log_cases,week_count
Luxembourg,9,216979,12.287555853646124,0.04119095388330862,12
Luxembourg,10,223666,12.317909146655335,0.030353293009211413,13
Luxembourg,11,229311,12.342834439784339,0.02492529312900338,14
Luxembourg,12,233966,12.362931084637596,0.020096644853257573,15
Luxembourg,13,237856,12.37942072752502,0.016489642887423273,16
Luxembourg,14,241160,12.393215892603342,0.013795165078322569,17
Luxembourg,15,243569,12.403155548920246,0.009939656316904077,18
Luxembourg,16,246081,12.413416029010275,0.010260480090028778,19
Luxembourg,17,247502,12.419173941766314,0.005757912756038763,20
Luxembourg,18,248972,12.425095719324695,0.0059217775583810806,21
Luxembourg,19,251873,12.436680271204908,0.011584551880213567,22
Luxembourg,20,254865,12.448489272187969,0.011809000983060258,23
Luxembourg,21,258467,12.462523305206975,0.014034033019006742,24
Luxembourg,22,264571,12.485864925261225,0.02334162005425,25
Luxembourg,23,270130,12.506658603586978,0.020793678325752296,26
Luxembourg,24,275512,12.526386463795305,0.019727860208327286,27
Luxembourg,25,279517,12.540818392625686,0.01443192883038158,28
Luxembourg,26,282252,12.550555567903544,0.009737175277857446,29
Luxembourg,27,283721,12.555746639911531,0.005191072007987074,30
Luxembourg,28,284931,12.56000232467542,0.004255684763888823,31
Luxembourg,29,285552,12.562179428095797,0.0021771034203776907,32
Luxembourg,30,286289,12.564757069111627,0.0025776410158293572,33
Luxembourg,31,287100,12.567585866109155,0.002828796997528471,34
Luxembourg,32,288658,12.572997875331072,0.005412009221917202,35
Luxembourg,33,288721,12.573216102873985,2.1822754291278557e-4,36
Luxembourg,34,289831,12.577053273472163,0.003837170598178119,37
Luxembourg,35,291758,12.583679970509793,0.0066266970376300804,38
Luxembourg,36,294753,12.593892996464868,0.010213025955074784,39
Luxembourg,37,297757,12.60403299659695,0.010140000132082605,40
Luxembourg,38,300099,12.611867699200314,0.007834702603362942,41
Luxembourg,39,302031,12.618284940095581,0.0064172408952671844,42
Luxembourg,40,303025,12.621570589338713,0.003285649243132127,43
Luxembourg,41,303571,12.62337079951964,0.0018002101809262427,44
Luxembourg,42,304962,12.627942457663615,0.004571658143975199,45
Luxembourg,43,306139,12.631794526160975,0.003852068497360861,46
Luxembourg,44,307290,12.63554720609869,0.003752679937715442,47
Luxembourg,45,308572,12.639710482455172,0.004163276356480949,48
Luxembourg,46,310066,12.64454045702646,0.004829974571288531,49
Luxembourg,47,98440,11.497202504504992,-1.1473379525214682,50
Luxembourg,48,102486,11.537481482866117,0.040278978361124373,51
Luxembourg,49,103766,11.549893643070217,0.012412160204100076,52
Madagascar,-3,52434,10.8673105148556,NA,0
Madagascar,-2,54101,10.898607948952096,0.03129743409649599,1
Madagascar,-1,55827,10.930012902309336,0.03140495335724047,2
Madagascar,0,57375,10.957363947362847,0.027351045053510603,3
Madagascar,1,59319,10.99068493838894,0.03332099102609298,4
Madagascar,2,61434,11.025718706802872,0.03503376841393191,5
Madagascar,3,62844,11.048410744067487,0.02269203726461555,6
Madagascar,4,63433,11.057739509741578,0.009328765674091244,7
Madagascar,5,63659,11.061295992261558,0.0035564825199791983,8
Madagascar,6,63791,11.06336739355144,0.0020714012898821466,9
Madagascar,7,63870,11.064605046555634,0.0012376530041944278,10
Madagascar,8,63928,11.065512729054298,9.076824986635756e-4,11
Madagascar,9,64009,11.06677897745504,0.0012662484007428532,12
Madagascar,10,64050,11.06741930732488,6.403298698387516e-4,13
Madagascar,11,64089,11.068028021318344,6.087139934649599e-4,14
Madagascar,12,64121,11.06852720235983,4.991810414853859e-4,15
Madagascar,13,64152,11.069010546486865,4.8334412703532337e-4,16
Madagascar,14,64181,11.0694624957204,4.5194923353442107e-4,17
Madagascar,15,64236,11.070319080181381,8.565844609815798e-4,18
Madagascar,16,64276,11.070941590161643,6.225099802623646e-4,19
Madagascar,17,64314,11.071532615919574,5.910257579309075e-4,20
Madagascar,18,64377,11.072511705444603,9.790895250283427e-4,21
Madagascar,19,64478,11.074079359329735,0.0015676538851323585,22
Madagascar,20,64685,11.077284614352003,0.00320525502226765,23
Madagascar,21,65009,11.08228100083132,0.0049963864793181045,24
Madagascar,22,65381,11.08798697535854,0.005705974527218771,25
Madagascar,23,65787,11.094177529405146,0.006190554046606067,26
Madagascar,24,66098,11.098893768195937,0.004716238790791749,27
Madagascar,25,66289,11.101779249890095,0.002885481694157477,28
Madagascar,26,66416,11.10369327029282,0.0019140204027259244,29
Madagascar,27,66491,11.10482187913902,0.0011286088461996968,30
Madagascar,28,66557,11.105814002363926,9.921232249059386e-4,31
Madagascar,29,66599,11.106444841400739,6.308390368126027e-4,32
Madagascar,30,66615,11.106685056394312,2.402149935729625e-4,33
Madagascar,31,66626,11.106850170736369,1.6511434205668252e-4,34
Madagascar,32,66640,11.107060276840725,2.101061043564556e-4,35
Madagascar,33,66652,11.107240332658515,1.8005581778979263e-4,36
Madagascar,34,66660,11.10736035186173,1.2001920321580428e-4,37
Madagascar,35,66676,11.107600347062979,2.3999520124817764e-4,38
Madagascar,36,66684,11.107720323067921,1.1997600494240146e-4,39
Madagascar,37,66687,11.107765310359019,4.4987291097697835e-5,40
Madagascar,38,66687,11.107765310359019,0,41
Madagascar,39,66706,11.108050182880493,2.8487252147435527e-4,42
